hashed_uid,date,pam_score_mean,pam_n_responses,frac_stationary,n_activity_readings,dark_hours,conversation_hours,n_gps_readings,mean_accuracy,km_from_campus,n_deadlines,has_deadline,is_weekend,day_of_week
02b34100f41b4332,2013-03-27,9.4,5.0,0.9221047514886378,8229.0,16.39888888888889,4.809444444444445,71.0,32.82683098591549,0.1774826671782076,0.0,0.0,0,Wednesday
02b34100f41b4332,2013-03-28,10.25,4.0,0.9465925567907202,8276.0,11.093055555555557,4.365,71.0,25.10119718309859,0.1781806611692119,0.0,0.0,0,Thursday
02b34100f41b4332,2013-03-29,6.0,3.0,0.9435748088824172,8241.0,16.16611111111111,6.332222222222223,71.0,25.993323943661977,0.1792539112165671,0.0,0.0,0,Friday
02b34100f41b4332,2013-03-30,9.2,5.0,0.9941499085923218,8205.0,13.921666666666669,1.2516666666666667,72.0,24.80609722222222,0.1808209661479928,0.0,0.0,1,Saturday
02b34100f41b4332,2013-03-31,7.0,2.0,1.0,8319.0,8.480555555555556,0.7591666666666667,72.0,23.304791666666667,0.1794542348919029,0.0,0.0,1,Sunday
02b34100f41b4332,2013-04-01,10.0,2.0,0.945657447840854,8244.0,19.24944444444445,6.1002777777777775,62.0,26.145580645161292,0.178777693578339,0.0,0.0,0,Monday
02b34100f41b4332,2013-04-03,9.714285714285714,7.0,0.9172731683648714,8244.0,15.74027777777778,7.248055555555555,65.0,27.532815384615382,0.1789806116878141,0.0,0.0,0,Wednesday
02b34100f41b4332,2013-04-09,10.041666666666666,24.0,1.0,8325.0,9.87527777777778,2.2530555555555556,72.0,23.950625,0.1802666148774435,0.0,0.0,0,Tuesday
02b34100f41b4332,2013-04-10,7.5,2.0,0.9483698945582354,8251.0,23.208055555555557,5.0725,71.0,26.877971830985917,0.1793655230485074,0.0,0.0,0,Wednesday
02b34100f41b4332,2013-04-11,9.8,5.0,0.9449485783424078,8265.0,22.112777777777776,3.3591666666666664,72.0,26.273333333333333,0.1772098081256667,0.0,0.0,0,Thursday
02b34100f41b4332,2013-04-12,10.0,3.0,0.970358814352574,8333.0,10.961944444444445,2.9855555555555555,72.0,25.860875,0.1785041304022109,1.0,1.0,0,Friday
02b34100f41b4332,2013-04-13,9.666666666666666,3.0,1.0,8343.0,12.449722222222222,1.8319444444444444,72.0,24.316597222222224,0.1807201634098501,0.0,0.0,1,Saturday
02b34100f41b4332,2013-04-14,8.0,3.0,0.943889223359422,8305.0,16.22111111111111,3.3602777777777777,72.0,27.262319444444444,0.1792429658501504,0.0,0.0,1,Sunday
02b34100f41b4332,2013-04-15,12.75,4.0,0.9327217125382264,8175.0,8.4375,5.0,72.0,27.080458333333333,0.1775929283364631,1.0,1.0,0,Monday
02b34100f41b4332,2013-04-16,12.0,6.0,0.942131607862288,8191.0,20.447222222222223,4.323055555555555,72.0,28.610444444444447,0.1771444099314437,0.0,0.0,0,Tuesday
02b34100f41b4332,2013-04-17,10.5,2.0,0.9669983013831596,8242.0,21.44833333333333,4.541111111111111,72.0,28.579708333333333,0.1781931144217114,0.0,0.0,0,Wednesday
02b34100f41b4332,2013-04-18,10.333333333333334,9.0,0.9178149006218754,8201.0,10.791666666666668,5.233333333333333,71.0,29.56014084507042,0.1787627996424355,0.0,0.0,0,Thursday
02b34100f41b4332,2013-04-19,12.25,4.0,0.9311814859926918,8210.0,13.550833333333332,5.366388888888889,70.0,37.39367142857142,0.17999718999182,0.0,0.0,0,Friday
