date,frac_stationary,n_activity_readings,hashed_uid
2013-03-27,0.8339792474059258,7999.0,cd6251b4de52453b
2013-03-28,0.8952644769819285,7581.0,cd6251b4de52453b
2013-03-29,0.8398246712586099,7985.0,cd6251b4de52453b
2013-03-30,0.8781169389509889,4652.0,cd6251b4de52453b
2013-03-31,0.8370828182941904,8090.0,cd6251b4de52453b
2013-04-01,0.9022593933341656,8011.0,cd6251b4de52453b
2013-04-02,0.8852540891497066,8009.0,cd6251b4de52453b
2013-04-03,0.8802528821123095,8067.0,cd6251b4de52453b
2013-04-04,0.8847804139323574,7924.0,cd6251b4de52453b
2013-04-05,0.849383030148836,7861.0,cd6251b4de52453b
2013-04-06,0.8805070917534831,7967.0,cd6251b4de52453b
2013-04-07,0.9385189794648412,8035.0,cd6251b4de52453b
2013-04-08,0.8508239375542064,8071.0,cd6251b4de52453b
2013-04-09,0.9207125831137876,7971.0,cd6251b4de52453b
2013-04-10,0.9150036954915004,8118.0,cd6251b4de52453b
2013-04-11,0.881489841986456,7974.0,cd6251b4de52453b
2013-04-12,0.9077115987460816,7975.0,cd6251b4de52453b
2013-04-13,0.943297717338514,8236.0,cd6251b4de52453b
2013-04-14,0.949390243902439,8200.0,cd6251b4de52453b
2013-04-15,0.904875,8000.0,cd6251b4de52453b
2013-04-16,0.9470063694267516,7850.0,cd6251b4de52453b
2013-04-17,0.8809404702351176,7996.0,cd6251b4de52453b
2013-04-18,0.9357548801581418,8094.0,cd6251b4de52453b
2013-04-19,0.7382283696291937,6796.0,cd6251b4de52453b
2013-04-20,0.7538345486547648,7954.0,cd6251b4de52453b
2013-04-21,0.9499024865919063,8204.0,cd6251b4de52453b
2013-04-22,0.8945981554677207,7590.0,cd6251b4de52453b
2013-04-23,0.8945522855353788,7985.0,cd6251b4de52453b
2013-04-24,0.9604395604395604,7735.0,cd6251b4de52453b
2013-04-25,0.9050049800796812,8032.0,cd6251b4de52453b
2013-04-26,0.8822862898149314,7943.0,cd6251b4de52453b
2013-04-27,0.7866509310254393,7626.0,cd6251b4de52453b
2013-04-28,0.8647146034099333,5396.0,cd6251b4de52453b
2013-04-29,0.8916237113402062,7760.0,cd6251b4de52453b
2013-04-30,0.9358783179242468,6706.0,cd6251b4de52453b
2013-05-01,0.7678703021370671,6785.0,cd6251b4de52453b
2013-05-02,0.903794557301648,2609.0,cd6251b4de52453b
2013-05-03,0.8262143031486453,8194.0,cd6251b4de52453b
2013-05-04,0.8058072868503792,5407.0,cd6251b4de52453b
2013-05-05,0.6912812540484519,7719.0,cd6251b4de52453b
2013-05-06,0.7357338649389484,8026.0,cd6251b4de52453b
2013-05-07,0.8901842798044377,7977.0,cd6251b4de52453b
2013-05-08,0.7142639439195367,6562.0,cd6251b4de52453b
2013-05-09,0.898750650702759,7684.0,cd6251b4de52453b
2013-05-10,0.8934779928492171,8111.0,cd6251b4de52453b
2013-05-11,0.9147915898192548,8133.0,cd6251b4de52453b
2013-05-12,0.9333168378077448,8083.0,cd6251b4de52453b
2013-05-13,0.886126305320736,8044.0,cd6251b4de52453b
2013-05-14,0.94702228717574,8211.0,cd6251b4de52453b
2013-05-15,0.8920211427133149,7946.0,cd6251b4de52453b
2013-05-16,0.6754448398576512,7025.0,cd6251b4de52453b
2013-05-17,0.9081812035158892,7395.0,cd6251b4de52453b
2013-05-18,1.0,717.0,cd6251b4de52453b
2013-05-19,0.8679626356980561,3961.0,cd6251b4de52453b
2013-05-20,1.0,5512.0,cd6251b4de52453b
2013-05-22,0.6021505376344086,558.0,cd6251b4de52453b
2013-05-23,0.8052217157065893,4826.0,cd6251b4de52453b
2013-05-24,0.8516856987493203,7356.0,cd6251b4de52453b
2013-05-25,0.7712923007040654,4403.0,cd6251b4de52453b
2013-05-26,0.9949397590361446,8300.0,cd6251b4de52453b
2013-05-27,0.9350456902938996,8098.0,cd6251b4de52453b
2013-05-28,0.9086148859244484,8021.0,cd6251b4de52453b
2013-05-29,0.8527068437180797,4895.0,cd6251b4de52453b
2013-05-30,0.8179808400884304,4071.0,cd6251b4de52453b
2013-05-31,0.7517577844740996,6969.0,cd6251b4de52453b
2013-03-27,0.9347960064094664,8113.0,26119daf181335b2
2013-03-28,0.8797143215135947,7981.0,26119daf181335b2
2013-03-29,0.891593195082578,8053.0,26119daf181335b2
2013-03-30,0.9446993180409176,8065.0,26119daf181335b2
2013-03-31,0.9656795936067402,8071.0,26119daf181335b2
2013-04-01,0.8620517306010246,8003.0,26119daf181335b2
2013-04-02,0.9377388731352484,8111.0,26119daf181335b2
2013-04-03,0.9307596513075964,8030.0,26119daf181335b2
2013-04-04,0.8910694323686499,8051.0,26119daf181335b2
2013-04-05,0.9002634550244637,7971.0,26119daf181335b2
2013-04-06,0.9276323872711636,8139.0,26119daf181335b2
2013-04-07,0.9325704441983512,8127.0,26119daf181335b2
2013-04-08,0.881752927842841,7941.0,26119daf181335b2
2013-04-09,0.9665894403121572,8201.0,26119daf181335b2
2013-04-10,0.950620316914384,8141.0,26119daf181335b2
2013-04-11,0.9400415191110024,8189.0,26119daf181335b2
2013-04-12,0.8879266428935303,7852.0,26119daf181335b2
2013-04-13,0.938855532410244,8161.0,26119daf181335b2
2013-04-14,0.9706096672334223,8234.0,26119daf181335b2
2013-04-15,0.9382093316519546,7930.0,26119daf181335b2
2013-04-16,0.9564898557809828,8182.0,26119daf181335b2
2013-04-17,0.9119120342089188,8185.0,26119daf181335b2
2013-04-18,0.8590670990271888,8018.0,26119daf181335b2
2013-04-19,0.8822725012431626,8044.0,26119daf181335b2
2013-04-20,0.9660068846815836,6972.0,26119daf181335b2
2013-04-21,0.9158092848180678,7970.0,26119daf181335b2
2013-04-22,0.9190983093299936,7985.0,26119daf181335b2
2013-04-23,0.9237866024869636,7479.0,26119daf181335b2
2013-04-24,0.9551472574979736,7402.0,26119daf181335b2
2013-04-25,0.92028266798909,8066.0,26119daf181335b2
2013-04-26,0.884935937305635,8039.0,26119daf181335b2
2013-04-27,0.8204055766793409,7890.0,26119daf181335b2
2013-04-28,0.9866087585957292,8289.0,26119daf181335b2
2013-04-29,0.9273572214748684,8177.0,26119daf181335b2
2013-04-30,0.9669926650366748,8180.0,26119daf181335b2
2013-05-01,0.9505749938830438,8174.0,26119daf181335b2
2013-05-02,0.8937275763949029,8083.0,26119daf181335b2
2013-05-03,0.9190894469875046,8083.0,26119daf181335b2
2013-05-04,0.9708605664488016,3672.0,26119daf181335b2
2013-05-07,0.8428571428571429,2100.0,26119daf181335b2
2013-05-08,0.9511925252028522,8134.0,26119daf181335b2
2013-05-09,0.9052931697037312,8067.0,26119daf181335b2
2013-05-10,0.9080827994085756,8116.0,26119daf181335b2
2013-05-11,0.9177489177489178,6930.0,26119daf181335b2
2013-05-12,0.832194046306505,4535.0,26119daf181335b2
2013-05-13,0.9182452642073778,8024.0,26119daf181335b2
2013-05-14,0.9370620774431468,8135.0,26119daf181335b2
2013-05-15,0.921505905511811,8128.0,26119daf181335b2
2013-05-16,0.904797695102092,7983.0,26119daf181335b2
2013-05-17,0.9000249625561657,8012.0,26119daf181335b2
2013-05-18,0.9394727070181952,8079.0,26119daf181335b2
2013-05-19,0.9461275348155388,8186.0,26119daf181335b2
2013-05-20,1.0,8303.0,26119daf181335b2
2013-05-21,0.9490508266993264,8165.0,26119daf181335b2
2013-05-22,0.9155467883121686,8111.0,26119daf181335b2
2013-05-23,0.8917142148350286,8062.0,26119daf181335b2
2013-05-24,0.9889543446244478,4074.0,26119daf181335b2
2013-05-25,0.8949859299053466,7818.0,26119daf181335b2
2013-05-26,0.91423197492163,7975.0,26119daf181335b2
2013-05-27,0.9589762429586088,8166.0,26119daf181335b2
2013-05-28,0.9338853037866796,8213.0,26119daf181335b2
2013-05-29,0.956865127582017,3292.0,26119daf181335b2
2013-03-27,0.9133524498192246,8021.0,37985280ff34ce04
2013-03-28,0.913200498132005,8030.0,37985280ff34ce04
2013-03-29,0.9337446020974708,8105.0,37985280ff34ce04
2013-03-30,0.9113701892942208,7977.0,37985280ff34ce04
2013-03-31,0.840451146876188,7891.0,37985280ff34ce04
2013-04-01,0.9489795918367347,8232.0,37985280ff34ce04
2013-04-02,0.929556830667806,8191.0,37985280ff34ce04
2013-04-03,0.9225560206845604,8122.0,37985280ff34ce04
2013-04-04,0.9209205533112989,8169.0,37985280ff34ce04
2013-04-05,0.8824395631365812,8149.0,37985280ff34ce04
2013-04-06,0.8809289751781765,8138.0,37985280ff34ce04
2013-04-07,0.9406219392752204,8168.0,37985280ff34ce04
2013-04-08,0.9571655856076368,8171.0,37985280ff34ce04
2013-04-09,0.930866007084402,8187.0,37985280ff34ce04
2013-04-10,0.9305880902478116,8111.0,37985280ff34ce04
2013-04-11,0.9453585461689588,8144.0,37985280ff34ce04
2013-04-12,0.9020823004462072,8068.0,37985280ff34ce04
2013-04-13,0.9483308787432498,8148.0,37985280ff34ce04
2013-04-14,0.962690230731468,8148.0,37985280ff34ce04
2013-04-15,0.9377891404918433,8214.0,37985280ff34ce04
2013-04-16,0.9355626067854528,8194.0,37985280ff34ce04
2013-04-17,0.9218788935958137,8026.0,37985280ff34ce04
2013-04-18,0.933920704845815,8172.0,37985280ff34ce04
2013-04-19,0.9484359726295212,8184.0,37985280ff34ce04
2013-04-20,0.9214557039578484,8161.0,37985280ff34ce04
2013-04-21,0.9347692307692308,8125.0,37985280ff34ce04
2013-04-22,0.929051987767584,8175.0,37985280ff34ce04
2013-04-23,0.9472477064220184,7848.0,37985280ff34ce04
2013-04-24,0.94715852442672,8024.0,37985280ff34ce04
2013-04-25,0.9428721863893642,7597.0,37985280ff34ce04
2013-04-26,0.943553478974618,7919.0,37985280ff34ce04
2013-04-27,0.8541100962725253,8102.0,37985280ff34ce04
2013-04-28,0.8780848963474828,8104.0,37985280ff34ce04
2013-04-29,0.935799109351806,8084.0,37985280ff34ce04
2013-04-30,0.954915466499687,7985.0,37985280ff34ce04
2013-05-01,0.9267206477732792,7410.0,37985280ff34ce04
2013-05-02,0.9364025991981196,7233.0,37985280ff34ce04
2013-05-03,0.9206102922161884,7734.0,37985280ff34ce04
2013-05-04,0.9166458385403649,8002.0,37985280ff34ce04
2013-05-05,0.944954128440367,6976.0,37985280ff34ce04
2013-05-06,0.9375153449545788,8146.0,37985280ff34ce04
2013-05-07,0.8844410876132931,7944.0,37985280ff34ce04
2013-05-08,0.9412558253617856,8154.0,37985280ff34ce04
2013-05-09,0.923038728897716,8056.0,37985280ff34ce04
2013-05-10,0.8008474576271186,8024.0,37985280ff34ce04
2013-05-11,0.8573968253968254,7875.0,37985280ff34ce04
2013-05-12,0.9377222017898738,8157.0,37985280ff34ce04
2013-05-13,0.9217628125773706,8078.0,37985280ff34ce04
2013-05-14,0.9327772325809616,8152.0,37985280ff34ce04
2013-05-15,0.8902898550724637,6900.0,37985280ff34ce04
2013-05-16,0.88398753894081,8025.0,37985280ff34ce04
2013-05-17,0.8541532931056618,7789.0,37985280ff34ce04
2013-05-18,0.8968615540369527,7902.0,37985280ff34ce04
2013-05-19,0.9402038786673296,8044.0,37985280ff34ce04
2013-05-20,0.8889719626168224,8025.0,37985280ff34ce04
2013-05-21,0.9239940387481372,8052.0,37985280ff34ce04
2013-05-22,0.9567870485678704,8030.0,37985280ff34ce04
2013-05-23,0.9363175466798566,8087.0,37985280ff34ce04
2013-05-24,0.8734724108134798,8101.0,37985280ff34ce04
2013-05-25,0.967148810983084,8158.0,37985280ff34ce04
2013-05-26,0.9570317323126312,8099.0,37985280ff34ce04
2013-05-27,0.939437353477468,7678.0,37985280ff34ce04
2013-05-28,0.9376083188908144,8078.0,37985280ff34ce04
2013-05-29,0.934178511973364,7809.0,37985280ff34ce04
2013-05-30,0.9016015374759768,7805.0,37985280ff34ce04
2013-05-31,0.9145493616483378,7911.0,37985280ff34ce04
2013-03-27,0.9783816425120772,8280.0,4fc7d2e42c31e91b
2013-03-28,0.991184639536288,8281.0,4fc7d2e42c31e91b
2013-03-29,0.9688066739209286,8271.0,4fc7d2e42c31e91b
2013-03-30,0.99867277992278,8288.0,4fc7d2e42c31e91b
2013-03-31,0.9991552015447744,8286.0,4fc7d2e42c31e91b
2013-04-01,0.9778830963665088,8229.0,4fc7d2e42c31e91b
2013-04-02,0.9964323938637174,5606.0,4fc7d2e42c31e91b
2013-04-03,0.9641239133096609,8167.0,4fc7d2e42c31e91b
2013-04-04,1.0,8339.0,4fc7d2e42c31e91b
2013-04-05,0.98113891911498,8271.0,4fc7d2e42c31e91b
2013-04-06,0.9582929194956352,8248.0,4fc7d2e42c31e91b
2013-04-07,0.9985592508104214,8329.0,4fc7d2e42c31e91b
2013-04-08,0.9586307003749848,8267.0,4fc7d2e42c31e91b
2013-04-09,1.0,8331.0,4fc7d2e42c31e91b
2013-04-10,0.9852692586331804,8282.0,4fc7d2e42c31e91b
2013-04-11,1.0,8313.0,4fc7d2e42c31e91b
2013-04-12,1.0,8340.0,4fc7d2e42c31e91b
2013-04-13,0.9824774884400096,8218.0,4fc7d2e42c31e91b
2013-04-14,0.9979413901671108,8258.0,4fc7d2e42c31e91b
2013-04-15,0.9732685297691372,8230.0,4fc7d2e42c31e91b
2013-04-16,1.0,8306.0,4fc7d2e42c31e91b
2013-04-17,0.9460213488597768,8244.0,4fc7d2e42c31e91b
2013-04-18,0.9843731217694436,8319.0,4fc7d2e42c31e91b
2013-04-19,1.0,3454.0,4fc7d2e42c31e91b
2013-04-20,0.9933985330073348,4090.0,4fc7d2e42c31e91b
2013-04-21,0.9785992217898832,8224.0,4fc7d2e42c31e91b
2013-04-22,0.9834014616623312,8073.0,4fc7d2e42c31e91b
2013-04-23,0.9320681735766952,8273.0,4fc7d2e42c31e91b
2013-04-24,0.9939882929916152,6321.0,4fc7d2e42c31e91b
2013-04-25,0.9518013631937684,8216.0,4fc7d2e42c31e91b
2013-04-26,0.9500243783520234,8204.0,4fc7d2e42c31e91b
2013-04-27,0.999638597759306,8301.0,4fc7d2e42c31e91b
2013-04-28,0.983865008005912,8119.0,4fc7d2e42c31e91b
2013-04-29,0.9693176239567992,8148.0,4fc7d2e42c31e91b
2013-04-30,0.92696287279367,8215.0,4fc7d2e42c31e91b
2013-05-01,1.0,8341.0,4fc7d2e42c31e91b
2013-05-02,0.9989196975153044,8331.0,4fc7d2e42c31e91b
2013-05-03,1.0,8327.0,4fc7d2e42c31e91b
2013-05-04,1.0,8335.0,4fc7d2e42c31e91b
2013-05-05,0.9934758970641536,8277.0,4fc7d2e42c31e91b
2013-05-06,0.9784014643075046,8195.0,4fc7d2e42c31e91b
2013-05-07,0.9834673138176854,6593.0,4fc7d2e42c31e91b
