date,n_gps_readings,mean_accuracy,km_from_campus,hashed_uid
2013-03-27,49,25.13830612244898,0.48985579894733466,cd6251b4de52453b
2013-03-28,42,32.410404761904765,0.280354274408947,cd6251b4de52453b
2013-03-29,49,30.486204081632653,0.3801123835292993,cd6251b4de52453b
2013-03-30,41,28.073170731707318,6.902602594386751,cd6251b4de52453b
2013-03-31,68,21.176470588235293,6.902932312585645,cd6251b4de52453b
2013-04-01,67,26.95986567164179,6.902356711682184,cd6251b4de52453b
2013-04-02,45,28.681266666666666,6.7070863495038315,cd6251b4de52453b
2013-04-03,65,30.404615384615383,0.5213945728273074,cd6251b4de52453b
2013-04-04,56,25.437964285714287,6.9026614091228895,cd6251b4de52453b
2013-04-05,62,30.254129032258067,1.9612592471463737,cd6251b4de52453b
2013-04-06,44,28.750249999999998,6.903536450839661,cd6251b4de52453b
2013-04-07,69,20.869565217391305,6.9028884379566025,cd6251b4de52453b
2013-04-08,66,28.15939393939394,6.9026927121873545,cd6251b4de52453b
2013-04-09,61,26.271426229508197,6.902642452722709,cd6251b4de52453b
2013-04-10,39,31.575717948717948,6.902748709390997,cd6251b4de52453b
2013-04-11,46,30.932478260869566,0.8497027251610255,cd6251b4de52453b
2013-04-12,68,28.32830882352941,6.877762696100243,cd6251b4de52453b
2013-04-13,55,21.754545454545454,6.908295817036814,cd6251b4de52453b
2013-04-14,39,19.82051282051282,6.908117550464285,cd6251b4de52453b
2013-04-15,57,29.739315789473686,0.512014581458143,cd6251b4de52453b
2013-04-16,31,23.903225806451612,6.91206357883775,cd6251b4de52453b
2013-04-17,62,28.25567741935484,3.731757324439575,cd6251b4de52453b
2013-04-18,62,28.22651612903226,6.907282023937611,cd6251b4de52453b
2013-04-19,54,26.611777777777778,0.5174582268610508,cd6251b4de52453b
2013-04-20,58,36.962034482758625,237.41813926429523,cd6251b4de52453b
2013-04-21,65,24.338461538461537,6.912084056191477,cd6251b4de52453b
2013-04-22,68,24.901073529411764,1.668063559165574,cd6251b4de52453b
2013-04-23,71,30.373267605633803,0.2539219827146446,cd6251b4de52453b
2013-04-24,65,22.35809230769231,6.907464415112147,cd6251b4de52453b
2013-04-25,54,27.51172222222222,1.2420870629893757,cd6251b4de52453b
2013-04-26,68,28.02270588235294,0.5255809354836851,cd6251b4de52453b
2013-04-27,62,28.167274193548387,6.912043102039238,cd6251b4de52453b
2013-04-28,42,23.761904761904763,6.909598558757709,cd6251b4de52453b
2013-04-29,71,26.03680281690141,0.5172841983484849,cd6251b4de52453b
2013-04-30,58,25.33731034482759,1.8468246867449978,cd6251b4de52453b
2013-05-01,45,27.573555555555554,1.9567149342786925,cd6251b4de52453b
2013-05-02,17,38.550176470588234,5254.630493325067,cd6251b4de52453b
2013-05-03,42,41.519380952380956,5254.629051899182,cd6251b4de52453b
2013-05-04,14,35.856857142857145,5529.013931822957,cd6251b4de52453b
