date,conversation_hours,hashed_uid
2013-03-27,7.073055555555555,cd6251b4de52453b
2013-03-28,6.414444444444444,cd6251b4de52453b
2013-03-29,8.581388888888888,cd6251b4de52453b
2013-03-30,10.14,cd6251b4de52453b
2013-03-31,6.9275,cd6251b4de52453b
2013-04-01,8.493611111111111,cd6251b4de52453b
2013-04-02,7.401666666666666,cd6251b4de52453b
2013-04-03,8.56611111111111,cd6251b4de52453b
2013-04-04,4.649166666666667,cd6251b4de52453b
2013-04-05,10.846666666666668,cd6251b4de52453b
2013-04-06,7.25,cd6251b4de52453b
2013-04-07,4.6475,cd6251b4de52453b
2013-04-08,8.189444444444444,cd6251b4de52453b
2013-04-09,5.025555555555556,cd6251b4de52453b
2013-04-10,5.76,cd6251b4de52453b
2013-04-11,7.987777777777778,cd6251b4de52453b
2013-04-12,10.320833333333333,cd6251b4de52453b
2013-04-13,5.989444444444445,cd6251b4de52453b
2013-04-14,3.2444444444444445,cd6251b4de52453b
2013-04-15,8.80111111111111,cd6251b4de52453b
2013-04-16,6.849166666666667,cd6251b4de52453b
2013-04-17,6.536111111111111,cd6251b4de52453b
2013-04-18,6.034166666666667,cd6251b4de52453b
2013-04-19,8.065277777777778,cd6251b4de52453b
2013-04-20,10.700833333333334,cd6251b4de52453b
2013-04-21,4.405833333333334,cd6251b4de52453b
2013-04-22,3.038333333333333,cd6251b4de52453b
2013-04-23,10.235833333333334,cd6251b4de52453b
2013-04-24,5.5875,cd6251b4de52453b
2013-04-25,8.155277777777778,cd6251b4de52453b
2013-04-26,9.205833333333333,cd6251b4de52453b
2013-04-27,7.585277777777778,cd6251b4de52453b
2013-04-28,4.66,cd6251b4de52453b
2013-04-29,9.957777777777778,cd6251b4de52453b
2013-04-30,6.415555555555556,cd6251b4de52453b
2013-05-01,6.909722222222222,cd6251b4de52453b
2013-05-02,2.3705555555555553,cd6251b4de52453b
2013-05-03,8.063611111111111,cd6251b4de52453b
2013-05-04,6.555555555555555,cd6251b4de52453b
2013-05-05,6.774166666666667,cd6251b4de52453b
2013-05-06,8.347777777777777,cd6251b4de52453b
2013-05-07,13.874166666666666,cd6251b4de52453b
2013-05-08,5.096666666666667,cd6251b4de52453b
2013-05-09,6.245833333333334,cd6251b4de52453b
2013-05-10,6.457777777777778,cd6251b4de52453b
2013-05-11,6.5216666666666665,cd6251b4de52453b
2013-05-12,6.402222222222223,cd6251b4de52453b
2013-05-13,7.426388888888889,cd6251b4de52453b
2013-05-14,4.154166666666667,cd6251b4de52453b
2013-05-15,10.250555555555556,cd6251b4de52453b
2013-05-16,9.179444444444444,cd6251b4de52453b
2013-05-17,8.954166666666667,cd6251b4de52453b
2013-05-19,2.611111111111111,cd6251b4de52453b
2013-05-20,1.2377777777777779,cd6251b4de52453b
2013-05-22,0.5261111111111111,cd6251b4de52453b
2013-05-23,6.4174999999999995,cd6251b4de52453b
2013-05-24,5.776666666666666,cd6251b4de52453b
2013-05-25,7.033333333333333,cd6251b4de52453b
2013-05-26,3.1122222222222224,cd6251b4de52453b
2013-05-27,9.258333333333333,cd6251b4de52453b
2013-05-28,9.298333333333334,cd6251b4de52453b
2013-05-29,8.581111111111111,cd6251b4de52453b
2013-05-30,5.636666666666667,cd6251b4de52453b
2013-05-31,8.905,cd6251b4de52453b
2013-03-27,6.053333333333334,26119daf181335b2
2013-03-28,6.1130555555555555,26119daf181335b2
2013-03-29,9.810277777777777,26119daf181335b2
2013-03-30,7.709444444444444,26119daf181335b2
2013-03-31,6.608611111111111,26119daf181335b2
2013-04-01,8.375277777777777,26119daf181335b2
2013-04-02,3.4419444444444447,26119daf181335b2
2013-04-03,13.136111111111111,26119daf181335b2
2013-04-04,10.428888888888888,26119daf181335b2
2013-04-05,10.995000000000001,26119daf181335b2
2013-04-06,8.839166666666667,26119daf181335b2
2013-04-07,8.779722222222222,26119daf181335b2
2013-04-08,10.515,26119daf181335b2
2013-04-09,7.588611111111112,26119daf181335b2
2013-04-10,12.424444444444443,26119daf181335b2
2013-04-11,7.151111111111111,26119daf181335b2
2013-04-12,13.711666666666666,26119daf181335b2
2013-04-13,7.964722222222222,26119daf181335b2
2013-04-14,6.9025,26119daf181335b2
2013-04-15,8.746666666666666,26119daf181335b2
2013-04-16,7.743333333333333,26119daf181335b2
2013-04-17,12.09361111111111,26119daf181335b2
2013-04-18,8.842222222222222,26119daf181335b2
2013-04-19,10.202222222222222,26119daf181335b2
2013-04-20,5.277222222222222,26119daf181335b2
2013-04-21,7.032777777777778,26119daf181335b2
2013-04-22,10.691666666666666,26119daf181335b2
2013-04-23,4.0175,26119daf181335b2
2013-04-24,7.297499999999999,26119daf181335b2
2013-04-25,12.005277777777778,26119daf181335b2
2013-04-26,9.481666666666667,26119daf181335b2
2013-04-27,10.022222222222222,26119daf181335b2
2013-04-28,7.260277777777778,26119daf181335b2
2013-05-02,3.46,26119daf181335b2
2013-05-03,10.897222222222222,26119daf181335b2
2013-05-04,2.140277777777778,26119daf181335b2
2013-05-07,3.946388888888889,26119daf181335b2
2013-05-08,10.223611111111111,26119daf181335b2
2013-05-09,12.243333333333334,26119daf181335b2
2013-05-10,9.650277777777777,26119daf181335b2
2013-05-11,10.391666666666667,26119daf181335b2
2013-05-12,10.526111111111112,26119daf181335b2
2013-05-13,9.075277777777778,26119daf181335b2
2013-05-14,10.106388888888889,26119daf181335b2
2013-05-15,9.324444444444444,26119daf181335b2
2013-05-16,10.58388888888889,26119daf181335b2
2013-05-17,10.934444444444445,26119daf181335b2
2013-05-18,9.879166666666666,26119daf181335b2
2013-05-25,10.894722222222223,26119daf181335b2
2013-05-26,12.2775,26119daf181335b2
2013-05-27,9.05888888888889,26119daf181335b2
2013-05-28,7.899166666666667,26119daf181335b2
2013-05-29,1.672222222222222,26119daf181335b2
2013-03-27,1.0613888888888887,37985280ff34ce04
2013-03-28,2.7561111111111107,37985280ff34ce04
2013-03-29,5.448888888888889,37985280ff34ce04
2013-03-30,8.293055555555556,37985280ff34ce04
2013-03-31,7.404444444444445,37985280ff34ce04
2013-04-01,5.6,37985280ff34ce04
2013-04-02,7.983611111111111,37985280ff34ce04
2013-04-03,0.022222222222222223,37985280ff34ce04
2013-04-04,6.911388888888889,37985280ff34ce04
2013-04-05,2.2844444444444445,37985280ff34ce04
2013-04-06,8.886111111111111,37985280ff34ce04
2013-04-07,4.279722222222222,37985280ff34ce04
2013-04-08,4.857222222222222,37985280ff34ce04
2013-04-09,7.064722222222223,37985280ff34ce04
2013-04-10,7.243333333333333,37985280ff34ce04
2013-04-11,6.874444444444444,37985280ff34ce04
2013-04-12,6.155,37985280ff34ce04
2013-04-13,5.165555555555556,37985280ff34ce04
2013-04-14,6.475833333333333,37985280ff34ce04
2013-04-15,7.54,37985280ff34ce04
2013-04-16,9.03361111111111,37985280ff34ce04
2013-04-17,8.93388888888889,37985280ff34ce04
2013-04-18,8.396944444444445,37985280ff34ce04
2013-04-19,7.796944444444445,37985280ff34ce04
2013-04-20,5.911388888888888,37985280ff34ce04
2013-04-21,7.129166666666666,37985280ff34ce04
2013-04-22,7.3175,37985280ff34ce04
2013-04-23,9.8025,37985280ff34ce04
2013-04-24,10.024722222222222,37985280ff34ce04
2013-04-25,0.5408333333333333,37985280ff34ce04
2013-04-26,2.261111111111111,37985280ff34ce04
2013-04-28,3.731388888888889,37985280ff34ce04
2013-04-29,6.991388888888888,37985280ff34ce04
2013-04-30,3.8536111111111113,37985280ff34ce04
2013-05-01,7.398333333333333,37985280ff34ce04
2013-05-02,1.4519444444444445,37985280ff34ce04
2013-05-03,3.1211111111111114,37985280ff34ce04
2013-05-04,9.635833333333334,37985280ff34ce04
2013-05-05,6.2325,37985280ff34ce04
2013-05-06,2.2019444444444445,37985280ff34ce04
2013-05-07,2.122777777777778,37985280ff34ce04
2013-05-08,3.4369444444444444,37985280ff34ce04
2013-05-09,3.678055555555556,37985280ff34ce04
2013-05-10,3.299722222222222,37985280ff34ce04
2013-05-11,6.0697222222222225,37985280ff34ce04
